,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2019-02-15,2,2019-02-15,11.527272727272727,10.645454545454546,66.72727272727273,920.0090909090909,262.3636363636364,1.218181818181818,432.0,383.45454545454544,154.0909090909091
2019-02-16,2,2019-02-16,11.341666666666667,6.483333333333333,58.416666666666664,921.1333333333332,176.91666666666666,1.5250000000000001,575.25,397.0833333333333,97.41666666666667
2019-02-17,2,2019-02-17,11.045454545454545,12.709090909090907,58.81818181818182,916.9545454545456,41.18181818181818,1.0545454545454545,0.0,93.72727272727273,93.72727272727273
2019-02-18,2,2019-02-18,7.745454545454546,14.681818181818182,88.0909090909091,913.5818181818181,75.54545454545455,2.254545454545455,0.0,42.54545454545455,42.54545454545455
2019-02-19,2,2019-02-19,9.875,9.275,67.41666666666667,916.9249999999998,92.83333333333333,1.55,407.0,364.0833333333333,122.25
2019-02-20,2,2019-02-20,9.583333333333334,18.28333333333333,77.91666666666667,920.6333333333333,42.25,2.083333333333333,0.25,42.916666666666664,42.833333333333336
2019-02-21,2,2019-02-21,10.363636363636362,15.799999999999999,91.36363636363636,918.781818181818,214.0909090909091,1.6909090909090907,1.9090909090909092,82.0,81.81818181818181
2019-02-22,2,2019-02-22,10.933333333333332,8.666666666666666,70.33333333333333,921.25,216.58333333333334,1.2083333333333335,620.0,422.6666666666667,82.0
2019-02-23,2,2019-02-23,12.274999999999999,7.841666666666668,60.583333333333336,919.4,210.41666666666666,1.625,366.0,349.6666666666667,143.75
2019-02-24,2,2019-02-24,12.350000000000001,11.441666666666668,60.083333333333336,915.0583333333333,133.58333333333334,1.0166666666666666,531.0,411.5,114.83333333333333
2019-02-25,2,2019-02-25,9.541666666666666,12.558333333333332,75.08333333333333,915.5833333333331,73.66666666666667,1.6249999999999998,153.16666666666666,245.66666666666666,141.08333333333334
2019-02-26,2,2019-02-26,7.458333333333333,13.700000000000001,86.16666666666667,915.1749999999998,77.75,1.583333333333333,0.0,24.0,24.0
2019-02-27,2,2019-02-27,9.441666666666666,8.675,63.833333333333336,914.8166666666667,227.91666666666666,1.6750000000000005,541.0,427.75,117.91666666666667
2019-02-28,2,2019-02-28,10.700000000000001,7.650000000000001,59.5,918.5583333333334,153.91666666666666,0.9416666666666664,368.4166666666667,374.0,171.41666666666666
