month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
6,3,37.05333333333333,21.98,14.933333333333334,926.3133333333334,131.46666666666667,4.333333333333333,270.1333333333333,429.6,199.06666666666663
1,29,10.945454545454544,14.381818181818184,73.45454545454545,940.4727272727272,118.0909090909091,3.6,0.2727272727272727,149.8181818181818,149.8181818181818
11,14,20.545454545454547,21.43636363636364,41.18181818181818,941.7454545454544,190.45454545454547,1.4090909090909092,16.272727272727273,208.0909090909091,200.3636363636364
11,2,21.0,13.85,31.75,940.65,152.08333333333334,1.875,263.9166666666667,306.1666666666667,160.75
7,17,33.364285714285714,45.07142857142857,42.5,927.65,190.7142857142857,1.4928571428571429,50.07142857142857,235.92857142857144,201.07142857142856
5,8,29.76428571428572,19.45,25.357142857142858,931.75,242.78571428571428,2.014285714285714,469.4285714285714,517.5714285714286,140.07142857142858
8,23,31.349999999999994,32.68571428571429,47.785714285714285,929.1785714285716,225.5,2.171428571428572,328.92857142857144,442.57142857142856,192.64285714285717
9,24,27.70833333333333,27.36666666666667,54.833333333333336,934.2583333333332,274.3333333333333,2.025,596.0833333333334,488.25,109.33333333333331
3,16,19.27692307692308,14.46923076923077,48.15384615384615,940.3076923076924,232.69230769230768,1.6384615384615382,436.46153846153845,420.6923076923077,136.46153846153845
10,1,24.808333333333334,30.824999999999992,58.583333333333336,934.7916666666666,237.08333333333331,1.9416666666666669,199.75,331.1666666666667,216.58333333333331
3,19,13.430769230769233,23.98461538461538,90.53846153846152,915.0307692307694,94.84615384615384,2.4000000000000004,0.0,37.46153846153846,37.46153846153846
10,23,21.60833333333333,19.59166666666667,48.0,936.375,111.41666666666669,2.225,314.5,338.75,159.91666666666666
9,15,30.235714285714288,34.03571428571429,48.85714285714285,931.214285714286,176.92857142857142,2.171428571428572,179.78571428571428,341.35714285714283,210.3571428571429
3,11,22.183333333333337,18.816666666666663,33.666666666666664,938.8416666666666,157.66666666666666,2.716666666666667,0.0,28.58333333333333,28.58333333333333
2,9,14.81818181818182,6.181818181818182,32.81818181818182,944.4363636363636,214.45454545454547,1.4363636363636365,596.0909090909091,404.3636363636364,103.72727272727272
12,17,13.31,4.15,24.5,944.13,289.2,2.34,727.9,353.0,59.5
8,15,30.800000000000004,45.61428571428571,60.285714285714285,923.8714285714289,147.07142857142858,2.3999999999999995,92.28571428571428,289.6428571428572,226.07142857142856
1,15,11.827272727272726,10.318181818181818,51.09090909090909,940.1272727272728,310.72727272727275,1.6909090909090907,287.6363636363636,282.45454545454544,145.72727272727272
11,25,18.96363636363636,9.18181818181818,24.63636363636364,939.8181818181816,244.27272727272728,2.127272727272727,421.0,305.72727272727275,107.72727272727272
1,1,13.070000000000002,6.76,27.9,944.59,155.6,1.1700000000000002,49.9,221.7,195.9
2,16,11.341666666666669,6.483333333333333,58.41666666666666,921.1333333333332,176.91666666666666,1.525,575.25,397.0833333333333,97.41666666666669
5,14,27.37857142857143,24.72142857142857,38.35714285714285,930.157142857143,187.28571428571428,1.5785714285714283,87.85714285714286,271.2142857142857,192.78571428571428
9,5,30.692857142857147,37.25714285714285,46.85714285714285,929.4571428571428,147.0,1.8928571428571428,124.07142857142856,338.1428571428572,245.64285714285717
4,22,19.535714285714285,22.328571428571426,58.57142857142857,934.9071428571428,121.57142857142856,4.092857142857143,187.28571428571428,310.92857142857144,165.21428571428572
9,27,27.891666666666666,40.09166666666667,59.75,936.2833333333332,110.16666666666669,1.9166666666666663,56.833333333333336,186.5,159.25
9,18,29.29230769230769,36.43846153846153,55.46153846153846,932.2153846153848,215.30769230769232,1.830769230769231,105.92307692307692,300.53846153846155,241.7692307692308
10,18,23.875,20.808333333333334,44.333333333333336,940.6916666666666,318.0833333333333,2.1083333333333334,222.58333333333331,231.41666666666663,102.91666666666669
3,10,17.59166666666667,9.725,42.0,935.75,128.75,1.3,189.75,334.6666666666667,230.5
1,16,12.463636363636368,8.4,41.90909090909091,939.2636363636364,321.1818181818182,2.5090909090909093,510.27272727272725,324.0,95.9090909090909
5,18,32.69285714285714,19.52857142857143,20.214285714285715,930.1142857142858,210.3571428571429,2.7285714285714286,359.85714285714283,484.6428571428572,209.07142857142856
5,30,23.092857142857145,37.457142857142856,63.785714285714285,932.7214285714284,64.57142857142857,3.8285714285714287,14.5,79.78571428571429,72.57142857142857
8,17,27.842857142857135,36.57857142857143,56.71428571428572,933.4428571428572,200.2142857142857,2.735714285714285,269.07142857142856,304.6428571428572,116.64285714285714
10,22,25.725,16.533333333333335,26.666666666666668,933.45,129.33333333333334,4.125000000000001,194.5,302.3333333333333,172.41666666666666
10,14,27.475000000000005,11.841666666666669,20.33333333333333,934.775,281.1666666666667,2.933333333333333,551.5833333333334,422.0833333333333,100.75
11,27,16.39090909090909,8.545454545454545,34.45454545454545,946.1727272727272,322.0,2.3999999999999995,634.6363636363636,333.90909090909093,55.72727272727273
12,27,12.65,3.28,18.3,940.22,214.4,1.4,466.2,317.6,113.7
10,8,28.700000000000003,14.80833333333333,22.33333333333333,935.7083333333336,204.0,1.8916666666666664,490.5833333333333,428.5833333333333,129.0
3,7,11.841666666666663,14.050000000000002,73.25,916.8166666666668,74.33333333333333,1.1416666666666664,302.0833333333333,313.0,127.83333333333331
4,16,24.821428571428573,14.914285714285713,38.642857142857146,934.164285714286,280.7857142857143,1.7142857142857142,56.142857142857146,203.07142857142856,178.64285714285714
1,15,9.654545454545456,8.572727272727272,51.45454545454545,924.8636363636364,135.0909090909091,1.2454545454545454,361.8181818181818,285.54545454545456,105.45454545454544
2,15,20.200000000000003,8.836363636363636,24.454545454545453,936.9909090909092,216.9090909090909,1.7636363636363634,492.1818181818182,405.45454545454544,137.63636363636363
3,16,16.758333333333333,11.591666666666669,57.41666666666666,921.0166666666668,203.08333333333331,1.508333333333333,382.0833333333333,431.0833333333333,167.5
4,2,22.66923076923077,11.623076923076924,45.53846153846154,916.2615384615384,181.15384615384616,1.323076923076923,572.1538461538462,513.3076923076923,120.46153846153848
2,26,7.458333333333333,13.7,86.16666666666667,915.1749999999998,77.75,1.583333333333333,0.0,24.0,24.0
11,18,19.69090909090909,6.072727272727272,28.363636363636363,938.8909090909092,325.0,2.4727272727272727,534.9090909090909,343.72727272727275,90.0909090909091
1,3,9.318181818181818,7.427272727272728,70.0,928.7909090909088,167.36363636363637,1.7363636363636366,471.0,294.3636363636364,88.27272727272727
11,4,22.758333333333336,5.883333333333334,12.25,937.4083333333332,206.08333333333331,1.866666666666667,487.5,352.25,101.33333333333331
6,5,33.959999999999994,22.54,19.73333333333333,928.6733333333332,169.66666666666666,2.3866666666666663,277.93333333333334,386.2,173.0
11,14,19.718181818181822,7.1090909090909085,20.545454545454547,937.0363636363636,169.0909090909091,1.8272727272727272,503.9090909090909,348.8181818181818,101.8181818181818
7,16,33.978571428571435,44.31428571428571,41.07142857142857,930.8642857142858,156.42857142857142,1.6071428571428572,354.57142857142856,483.7142857142857,213.64285714285717
9,17,31.314285714285717,25.014285714285712,35.0,929.6142857142856,221.5,2.128571428571429,454.7857142857143,423.9285714285714,120.92857142857144
9,12,27.22857142857143,39.471428571428575,59.07142857142857,929.9285714285716,175.85714285714286,1.507142857142857,456.4285714285714,431.7142857142857,118.85714285714286
12,20,15.01,8.81,21.6,943.32,274.9,1.77,286.0,271.2,133.6
8,17,31.02142857142857,28.6,42.71428571428572,930.8785714285716,203.0,1.6357142857142857,498.7857142857143,503.3571428571428,141.28571428571428
12,25,13.18,4.889999999999999,24.5,940.67,275.3,2.15,594.1,337.5,87.7
6,10,33.82,32.64666666666667,31.0,928.2599999999998,184.26666666666668,1.353333333333333,319.0,461.9333333333333,214.86666666666667
9,11,26.92142857142857,40.92142857142857,63.142857142857146,931.8714285714286,123.64285714285714,3.485714285714286,82.07142857142857,232.42857142857144,174.92857142857142
7,12,32.919999999999995,44.50666666666667,48.06666666666667,923.2266666666668,137.0,3.2,10.0,238.4,230.46666666666667
8,1,27.192857142857147,57.87857142857143,78.85714285714286,925.7357142857144,121.78571428571428,3.2785714285714285,106.42857142857144,186.7142857142857,127.85714285714286
2,25,9.541666666666666,12.558333333333332,75.08333333333333,915.5833333333331,73.66666666666667,1.6249999999999998,153.16666666666666,245.66666666666663,141.08333333333334
1,6,7.99090909090909,9.081818181818182,76.63636363636364,926.1727272727272,175.36363636363637,1.5090909090909093,359.72727272727275,280.1818181818182,116.0
1,17,12.1,10.854545454545455,47.54545454545455,939.5727272727272,214.8181818181818,1.4363636363636365,431.27272727272725,313.27272727272725,110.0909090909091
8,4,27.81428571428572,46.81428571428573,67.28571428571429,927.3071428571428,147.14285714285714,2.642857142857143,176.92857142857142,322.2857142857143,199.0
4,14,27.33076923076923,18.63076923076923,29.46153846153846,935.123076923077,243.3846153846154,2.715384615384615,217.07692307692307,386.61538461538464,227.3846153846154
9,13,30.792857142857148,28.585714285714285,39.642857142857146,932.2285714285716,147.5,1.757142857142857,361.2857142857143,409.9285714285714,164.78571428571428
10,8,25.575,18.84166666666667,36.583333333333336,936.7916666666666,242.41666666666663,1.7166666666666666,608.4166666666666,447.5833333333333,92.08333333333331
5,5,26.8,23.2,40.92857142857143,933.9785714285716,250.92857142857144,2.1214285714285714,639.2142857142857,550.7142857142857,96.0
10,11,28.908333333333346,15.083333333333334,21.666666666666668,932.8833333333332,216.16666666666663,1.8333333333333333,438.4166666666667,408.0833333333333,137.58333333333334
5,15,26.21428571428571,21.328571428571426,44.57142857142857,933.8285714285712,306.5,2.721428571428572,579.2142857142857,553.6428571428571,116.28571428571428
12,4,19.91,14.25,25.4,937.05,176.0,1.2900000000000005,237.7,209.9,111.7
9,3,31.69285714285714,41.39285714285715,50.42857142857143,927.4857142857144,211.07142857142856,1.707142857142857,241.92857142857144,379.9285714285714,210.14285714285717
8,3,31.792857142857144,45.97857142857144,52.642857142857146,926.3142857142858,169.57142857142858,1.3571428571428574,265.85714285714283,432.07142857142856,209.8571428571429
10,4,23.991666666666664,25.850000000000005,52.91666666666666,937.1833333333334,285.8333333333333,1.8416666666666668,320.8333333333333,383.75,185.66666666666663
3,1,18.825,18.25,48.583333333333336,939.3333333333334,254.91666666666663,1.7416666666666665,381.6666666666667,392.9166666666667,160.83333333333334
12,12,11.56,16.889999999999997,73.9,939.87,126.9,1.4300000000000002,0.0,45.6,45.6
1,25,7.590909090909091,9.1,73.9090909090909,925.8090909090912,111.54545454545456,0.9272727272727272,236.0909090909091,245.3636363636364,143.27272727272728
8,13,31.157142857142865,51.90714285714285,61.5,925.9857142857144,117.92857142857144,2.407142857142857,68.35714285714286,309.85714285714283,257.07142857142856
9,4,29.70714285714286,31.49285714285714,51.642857142857146,929.5928571428572,241.2142857142857,1.8214285714285716,406.7142857142857,443.57142857142856,154.42857142857142
3,24,17.24615384615385,17.592307692307692,57.61538461538461,941.1923076923078,93.07692307692308,1.7538461538461538,521.4615384615385,468.46153846153845,130.69230769230768
10,12,28.933333333333326,16.508333333333333,22.08333333333333,931.6749999999998,178.91666666666666,1.8833333333333333,169.83333333333334,322.5833333333333,208.0
4,8,21.842857142857135,15.042857142857144,40.92857142857143,937.2714285714288,300.57142857142856,1.942857142857143,446.0,460.2142857142857,138.35714285714286
6,16,31.550000000000004,26.007142857142863,30.785714285714285,924.25,167.0,3.4642857142857144,154.57142857142858,355.92857142857144,225.92857142857144
5,20,30.42142857142857,13.80714285714286,20.642857142857142,929.6285714285714,240.2142857142857,3.071428571428572,604.2857142857143,572.8571428571429,118.42857142857144
5,20,26.357142857142858,20.42142857142857,48.142857142857146,915.3142857142856,205.92857142857144,1.9142857142857144,607.0,567.0714285714286,113.5
1,28,9.9,16.690909090909088,72.63636363636364,934.8363636363636,75.0,2.5363636363636366,0.0,77.81818181818181,77.81818181818181
2,18,19.933333333333334,7.141666666666667,19.916666666666668,941.4083333333334,187.83333333333331,1.883333333333333,494.8333333333333,393.25,120.83333333333331
11,13,20.781818181818178,16.60909090909091,34.18181818181818,940.8909090909092,209.9090909090909,1.390909090909091,65.0909090909091,216.8181818181818,188.1818181818182
10,27,23.941666666666677,8.166666666666666,17.666666666666668,936.8583333333332,222.91666666666663,1.9333333333333331,619.9166666666666,392.9166666666667,69.66666666666667
1,9,10.054545454545456,6.227272727272728,48.0,941.9363636363636,312.8181818181818,2.209090909090909,654.2727272727273,331.54545454545456,58.81818181818182
